id,fill_H_start,fill_H_end,fill_S_start,fill_S_end,fill_B_start,fill_B_end,fill_A_start,fill_A_end,stroke_H_start,stroke_H_end,stroke_S_start,stroke_S_end,stroke_B_start,stroke_B_end,stroke_A_start,stroke_A_end,radius_Start,radius_End,flatness_start,flatness_end,twist_Start,twist_End,noisePercent_Start,noisePercent_End,noise_vMax,noise_Step,noise_xOff,noise_yOff,fertility,spawnLimit,lifespan,StripeSize,StripeRatio
0,0,0,0,0,0,64,255,255,0,0,0,0,255,255,0,0,20,5,100,100,100,100,0,0,3,5,599,324,65,1,200,10000,0.5
1,120,120,0,0,255,220,255,255,0,0,0,0,0,128,0,0,41.66,5,100,80,0,30,0,0,2.33,3.21,529.72,529.72,65,1,159.86,10000,0.5
2,240,180,55,55,160,255,255,255,0,0,0,0,255,255,0,0,41.66,5.0,100.0,200.0,30.0,60.0,0.0,0.0,2.33,3.21,529.72,529.72,65.0,1.0,159.86,29.84,0.5
3,240,180,55,55,160,255,0,0,0,0,0,0,255,255,12,44,41.66,5.0,100.0,200.0,30.0,60.0,0.0,0.0,2.33,3.21,529.72,529.72,65.0,1.0,159.86,29.84,0.5
4,240,180,0,0,255,0,255,255,0,0,0,0,255,255,12,12,41.66,5.0,100.0,200.0,30.0,60.0,0.0,0.0,2.33,3.21,529.72,529.72,65.0,1.0,159.86,10000,0.5
5,240,180,0,0,0,255,255,255,0,0,0,0,0,0,24,12,41.66,5.0,100.0,200.0,30.0,60.0,0.0,0.0,2.33,3.21,529.72,529.72,65.0,1.0,159.86,10000,0.5
6,240,240,0,0,0,255,255,255,0,0,0,0,0,0,0,0,41.66,1,100,100,50,25,100,20,2.33,3.21,529.72,529.72,65,1,300,10000,0.5
7.0,213.31088,175.96718,147.58417,128.0,64.0,200.0,255.0,255.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,35.0,5.0,106.952286,100.0,21.321657,0.79110265,15.077954,14.476752,3.0148475,5.7020826,896.3231,776.98627,67.61914,1.3616626,204.95287,10000.0,0.5253291
8.0,227.72903,193.27014,149.65703,128.0,64.0,200.0,255.0,255.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,35.0,5.0,106.15881,100.0,18.899431,49.546497,0.17076135,80.54327,3.879899,2.5105164,492.85364,703.4835,78.18936,2.739643,216.10233,10000.0,0.6412258
9.0,226.48941,217.2427,139.66785,128.0,64.0,200.0,255.0,255.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,0.0,35.0,5.0,104.135864,100.0,45.998306,1.704973,99.832634,96.44352,2.5362282,5.141119,633.0824,123.57909,67.17658,2.1585608,284.45697,38.29319,0.7074823
